Matricula,Nome,Serie,Turma,Portugues,Matematica,Historia,Geografia,Biologia,Fisica,Quimica,Ingles,Educacao_Fisica,Media_Geral
2024018,Thiago Luiz Azevedo,2º Ano,C,6.0,8.0,6.5,6.0,7.0,8.5,8.0,6.5,9.0,7.3
2024019,Úrsula Benedita Freitas,2º Ano,C,9.0,8.0,8.5,9.0,8.5,7.5,8.0,8.5,8.5,8.4
2024020,Vinícius Teixeira Lopes,2º Ano,C,4.0,5.5,4.5,5.0,5.5,6.0,5.0,4.5,7.0,5.2
2024021,Amanda Júlia Correia,3º Ano,A,8.0,8.5,8.0,8.5,9.0,8.0,8.5,8.0,8.5,8.3
2024022,Bernardo Augusto Melo,3º Ano,A,7.5,9.5,7.0,7.5,8.0,9.0,9.5,7.0,8.0,8.1
2024023,Camila Duarte Ramos,3º Ano,A,9.5,7.0,9.5,9.0,8.5,6.5,7.0,9.5,9.0,8.4
2024024,Daniel Henrique Batista,3º Ano,B,6.0,6.5,6.0,5.5,6.5,7.0,6.5,6.0,8.0,6.4
2024025,Elena Cristina Vargas,3º Ano,B,8.5,8.0,9.0,8.5,8.0,7.5,8.0,8.5,9.0,8.3
2024026,Fernando Paulo Guimarães,3º Ano,B,5.5,7.0,5.0,5.5,6.0,7.5,7.0,5.0,7.5,6.2
2024027,Giovanna Maria Castro,3º Ano,C,9.0,9.0,9.5,9.0,9.5,8.5,9.0,9.0,9.5,9.1
2024028,Hugo Leonardo Siqueira,3º Ano,C,7.0,8.5,7.5,7.0,7.5,8.0,8.5,7.0,8.0,7.7
2024029,Ingrid Beatriz Monteiro,3º Ano,C,8.0,6.0,8.5,8.0,7.5,5.5,6.0,8.5,8.5,7.4
2024030,José Carlos Antunes,3º Ano,C,6.5,7.5,6.0,6.5,7.0,7.5,7.0,6.0,9.0,7.0
2024031,Karen Priscila Andrade,1º Ano,A,7.5,7.0,8.0,7.5,7.0,6.5,7.0,8.0,8.5,7.4
2024032,Leonardo Fábio Cunha,1º Ano,B,9.0,9.5,8.0,8.5,9.0,9.5,9.0,8.0,8.5,8.8
2024033,Mariana Luiza Peixoto,1º Ano,B,8.5,5.5,9.0,8.5,7.5,5.0,5.5,9.0,9.0,7.5
2024034,Nicolas Eduardo Braga,1º Ano,C,5.0,6.0,5.5,5.0,6.0,6.5,6.0,5.5,7.5,5.9
2024035,Olívia Fernanda Reis,2º Ano,A,9.5,8.5,9.0,9.5,9.0,8.0,8.5,9.5,9.0,9.0
2024036,Paulo Roberto Nascimento,2º Ano,A,6.5,8.0,6.0,6.5,7.0,8.5,8.0,6.0,8.0,7.2
2024037,Queila Vanessa Duarte,2º Ano,B,8.0,7.5,8.5,8.0,8.0,7.0,7.5,8.5,8.5,7.9
2024038,Renato César Magalhães,2º Ano,B,4.5,5.5,4.0,4.5,5.0,5.5,5.0,4.0,6.5,4.9
2024039,Sabrina Teles Fonseca,2º Ano,C,9.0,9.0,8.5,9.0,9.5,9.0,9.0,8.5,9.0,9.0
2024040,Túlio Henrique Prado,2º Ano,C,7.0,6.5,7.5,7.0,6.5,6.0,6.5,7.5,8.0,7.0
2024041,Valentina Rocha Miranda,3º Ano,A,8.5,8.0,9.0,8.5,8.5,7.5,8.0,9.0,9.0,8.4
2024042,Wagner Luís Cardoso,3º Ano,A,6.0,9.0,5.5,6.0,7.0,9.5,9.0,5.5,7.5,7.2
2024043,Ximena Paula Figueiredo,3º Ano,B,9.0,7.5,9.5,9.0,8.5,7.0,7.5,9.5,8.5,8.4
2024044,Yuri Alexandre Borges,3º Ano,B,5.5,6.0,5.0,5.5,6.0,6.5,6.0,5.0,8.0,6.0
2024045,Zélia Aparecida Moura,3º Ano,C,8.0,8.5,8.0,8.0,8.5,8.0,8.5,8.0,8.5,8.2
2024046,Arthur Miguel Dantas,1º Ano,A,7.5,8.0,7.0,7.5,8.0,8.5,8.0,7.0,9.0,7.8
2024047,Beatriz Helena Tavares,1º Ano,B,9.5,6.5,9.0,9.5,8.0,6.0,6.5,9.0,8.5,8.1
2024048,Caio Fernando Xavier,2º Ano,A,6.0,7.0,6.5,6.0,6.5,7.5,7.0,6.0,8.0,6.7
2024049,Débora Cristina Leal,3º Ano,B,8.5,9.0,8.5,8.0,9.0,8.5,9.0,8.5,9.0,8.7
2024050,Enzo Gabriel Pacheco,3º Ano,C,7.0,7.5,7.0,7.5,7.5,7.0,7.5,7.0,8.5,7.4
2024051,Lie Eil Lionel,3º Ano,C,7.0,7.5,7.0,7.5,7.5,7.0,7.5,7.0,8.5,7.4
2024052,Lionel Kurin Gutier,2º Ano,C,7.0,7.5,7.0,7.5,7.5,7.0,7.5,7.0,8.5,7.4
